GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q9T0A4	ndhS	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021659	3702	InterPro		P
UniProtKB	Q9T0A4	ndhS	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:24225949		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF143	3702	TreeGrafter		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:23995216		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:26392145		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009769	photosynthesis, light harvesting in photosystem II	ECO:0000314	IDA	PMID:26392145		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XF88	LHCB4.2	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9XF88	LHCB4.2	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF71	3702	TreeGrafter		P
UniProtKB	Q9XF88	LHCB4.2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XF89	LHCB5	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:25605904		3702	TAIR		P
UniProtKB	Q9XF89	LHCB5	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:18381925		3702	TAIR		P
UniProtKB	Q9XF89	LHCB5	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9XF89	LHCB5	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF16	3702	TreeGrafter		P
UniProtKB	Q9XF89	LHCB5	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XF91	PSBS	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XFT3	PSBQ1	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR33399:SF3	3702	TreeGrafter		P
UniProtKB	Q9XFT3	PSBQ1	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008797	3702	InterPro		P
UniProtKB	Q9XFT3	PSBQ1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XI73	PNSL2	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:20430763		3702	TAIR		P
UniProtKB	Q9XI73	PNSL2	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR33399:SF5	3702	TreeGrafter		P
UniProtKB	Q9XI73	PNSL2	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008797	3702	InterPro		P
UniProtKB	Q9XIL5	OTP51	acts_upstream_of_or_within	GO:0048564	photosystem I assembly	ECO:0000315	IMP	PMID:18557832		3702	TAIR		P
UniProtKB	Q9XIL5	OTP51	involved_in	GO:0048564	photosystem I assembly	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q6ZHJ5|RAP2022-09-01:Os02t0702000-01	3702	EnsemblPlants		P
